Commune,UrbanLevel
Bishop Auckland Town,1
Blackhalls,1
Consett North,1
Craghead and South Moor,1
Dawdon,1
Delves Lane and Consett South,1
Deneside,1
Elvet,1
Framwellgate Moor,1
Gilesgate,1
Horden,1
Leadgate and Medomsley,1
Neville's Cross,1
Newton Hall,1
Peterlee East,1
Peterlee West,1
Seaham,1
Shildon East,1
Shotton,1
Spennymoor and Middlestone,1
Stanley,1
Tanfield,1
Tudhoe,1
West Auckland,1
Wingate,1
Woodhouse Close,1
Ashington Central,1
Bedlington Central,1
Bedlington East,1
Bedlington West,1
Bothal,1
College,1
Cowpen,1
Croft,1
Haydon,1
Hexham Central with Acomb,1
Hexham East,1
Hexham West,1
Hirst,1
Isabella,1
Kitty Brewster,1
Morpeth Kirkhill,1
Morpeth North,1
Morpeth Stobhill,1
Newsham,1
Plessey,1
Ponteland East,1
Ponteland North,1
Ponteland South with Heddon,1
Ponteland West,1
Prudhoe East,1
Prudhoe West,1
Seaton with Newbiggin West,1
Sleekburn,1
South Blyth,1
Wensleydale,1
Abbey,1
Bagley,1
Battlefield,1
"Bayston Hill, Column and Sutton",1
Belle Vue,1
Bowbrook,1
Bridgnorth East and Astley Abbotts,1
Bridgnorth West and Tasley,1
Broseley,1
Castlefields and Ditherington,1
Copthorne,1
Harlescott,1
Market Drayton East,1
Market Drayton West,1
Meole,1
Monkmoor,1
Oswestry East,1
Oswestry South,1
Oswestry West,1
Porthill,1
Quarry and Coton Hill,1
Radbrook,1
Sundorne,1
Underdale,1
Bodmin Central,1
Bodmin East,1
Bodmin West,1
Camborne Central,1
Camborne North,1
Camborne South,1
Camborne West,1
Carn Brea North,1
Falmouth Arwenack,1
Falmouth Boslowick,1
Falmouth Gyllyngvase,1
Falmouth Penwerris,1
Falmouth Trescobeas,1
Gulval and Heamoor,1
Helston Central,1
Helston North,1
Illogan,1
Mount Charles,1
Newlyn and Mousehole,1
Newquay Central,1
Newquay Pentire,1
Newquay Treloggan,1
Newquay Tretherras,1
Newquay Treviglas,1
Penryn West,1
Penwithick,1
Penzance Central,1
Penzance East,1
Penzance Promenade,1
Redruth Central,1
Redruth North,1
Redruth South,1
St Austell Bay,1
St Austell Bethel,1
St Austell Gover,1
St Austell Poltair,1
St Day and Lanner,1
Saltash Burraton,1
Saltash Essa,1
Saltash Pill,1
Saltash St Stephens,1
Threemilestone and Gloweth,1
Troon and Beacon,1
Truro Boscawen,1
Truro Moresk,1
Truro Tregolls,1
Truro Trehaverne,1
Amesbury East,1
Amesbury West,1
Calne Central,1
Calne Chilvester and Abberd,1
Calne North,1
Calne South and Cherhill,1
Chippenham Cepen Park and Derriads,1
Chippenham Cepen Park and Redlands,1
Chippenham Hardenhuish,1
Chippenham Hardens and England,1
Chippenham Lowden and Rowden,1
Chippenham Monkton,1
Chippenham Pewsham,1
Chippenham Queens and Sheldon,1
Corsham Pickwick,1
Corsham Town,1
Corsham Without and Box Hill,1
Devizes and Roundway South,1
Devizes East,1
Devizes North,1
Hilperton,1
Holt and Staverton,1
"Laverstock, Ford and Old Sarum",1
Melksham Central,1
Melksham North,1
Melksham South,1
Melksham Without South,1
Roundway,1
Salisbury Bemerton,1
Salisbury Fisherton and Bemerton Village,1
Salisbury Harnham,1
Salisbury St Edmund and Milford,1
Salisbury St Francis and Stratford,1
Salisbury St Mark's and Bishopdown,1
Salisbury St Martin's and Cathedral,1
Salisbury St Paul's,1
Trowbridge Adcroft,1
Trowbridge Central,1
Trowbridge Drynham,1
Trowbridge Grove,1
Trowbridge Lambrok,1
Trowbridge Park,1
Trowbridge Paxcroft,1
Warminster Broadway,1
Warminster East,1
Warminster West,1
Westbury East,1
Westbury North,1
Westbury West,1
Wootton Bassett East,1
Wootton Bassett North,1
Wootton Bassett South,1
Binstead and Fishbourne,1
Carisbrooke,1
Cowes Medina,1
Cowes North,1
Cowes South and Northwood,1
Cowes West and Gurnard,1
East Cowes,1
"Havenstreet, Ashey and Haylands",1
Lake North,1
Lake South,1
Nettlestone and Seaview,1
Newport Central,1
Newport East,1
Newport North,1
Newport South,1
Newport West,1
Parkhurst,1
Ryde East,1
Ryde North East,1
Ryde North West,1
Ryde South,1
Ryde West,1
Sandown North,1
Sandown South,1
Shanklin Central,1
Shanklin South,1
Whippingham and Osborne,1
Belper South,1
Duffield,1
Huntingdon West,1
St Neots Eynesbury,1
Ditton,1
Larkfield North,1
Honiton St Michael's,1
Brambleside,1
Loose,1
South,1
Brockworth,1
Churchdown Brookfield,1
Cleeve Grange,1
Cleeve Hill,1
Cleeve St Michael's,1
Hucclecote,1
Tewkesbury Prior's Park,1
St Ives South,1
St Neots Eaton Ford,1
St Neots Priory Park,1
Stratford Avenue and New Town,1
Brickhill,1
Great Doddington and Wilby,1
Queensway,1
Swanspool,1
College,1
Backwell,1
Kewstoke,1
Weston-super-Mare Clarence and Uphill,1
Weston-super-Mare East,1
Weston-super-Mare North Worle,1
Alderley Edge,1
Alsager,1
Bollington,1
Broken Cross and Upton,1
Congleton East,1
Congleton West,1
Crewe Central,1
Crewe East,1
Crewe North,1
Crewe St Barnabas,1
Crewe South,1
Crewe West,1
Disley,1
Knutsford,1
Leighton,1
Macclesfield Central,1
Macclesfield East,1
Macclesfield Hurdsfield,1
Macclesfield South,1
Macclesfield Tytherington,1
Macclesfield West and Ivy,1
Middlewich,1
Nantwich North and West,1
Nantwich South and Stapeley,1
Odd Rode,1
Prestbury,1
Sandbach Elworth,1
Sandbach Ettiley Heath and Wheelock,1
Sandbach Heath and East,1
Sandbach Town,1
Shavington,1
Willaston and Rope,1
Wistaston,1
Blacon,1
Boughton,1
Chester City,1
Davenham and Moulton,1
Dodleston and Huntington,1
Ellesmere Port Town,1
Elton,1
Garden Quarter,1
Grange,1
Great Boughton,1
Handbridge Park,1
Hartford and Greenbank,1
Hoole,1
Lache,1
Ledsham and Manor,1
Little Neston and Burton,1
Marbury,1
Neston,1
Netherpool,1
Newton,1
Parkgate,1
Rossmore,1
St Paul's,1
Strawberry,1
Sutton,1
Upton,1
Whitby,1
Winnington and Castle,1
Winsford Over and Verdin,1
Winsford Swanlow and Dene,1
Winsford Wharton,1
Witton and Rudheath,1
Saffron Walden Castle,1
Abbey Hulton and Townsend,1
"Baddeley, Milton and Norton",1
Bentilee and Ubberley,1
Birches Head and Central Forest Park,1
Blurton East,1
Blurton West and Newstead,1
Boothen and Oak Hill,1
Bradeley and Chell Heath,1
Broadway and Longton East,1
Burslem Central,1
Burslem Park,1
Dresden and Florence,1
Eaton Park,1
Etruria and Hanley,1
Fenton East,1
Fenton West and Mount Pleasant,1
Ford Green and Smallthorne,1
Goldenhill and Sandyford,1
Great Chell and Packmoor,1
Hanford and Trentham,1
Hanley Park and Shelton,1
Hartshill and Basford,1
Hollybush and Longton West,1
Joiner's Square,1
Lightwood North and Normacot,1
Little Chell and Stanfield,1
Meir Hay,1
Meir North,1
Meir Park,1
Meir South,1
Moorcroft,1
Penkhull and Stoke,1
Sandford Hill,1
Sneyd Green,1
Springfields and Trent Vale,1
Tunstall,1
Weston Coyney,1
Brickhill,1
Castle,1
Cauldwell,1
De Parys,1
Elstow,1
Goldington,1
Harpur,1
Kempston Central and East,1
Kempston North,1
Kempston South,1
Kempston West,1
Kingsbrook,1
Newnham,1
Putnoe,1
Queens Park,1
Ampthill,1
Aspley and Woburn,1
Biggleswade North,1
Biggleswade South,1
Dunstable-Central,1
Dunstable-Icknield,1
Dunstable-Manshead,1
Dunstable-Northfields,1
Dunstable-Watling,1
Flitwick,1
Houghton Hall,1
Leighton Buzzard North,1
Leighton Buzzard South,1
Linslade,1
Parkside,1
Sandy,1
Shefford,1
Tithe Farm,1
Church Gresley,1
Linton,1
Midway,1
Newhall and Stanton,1
Stenson,1
Swadlincote,1
Woodville,1
Abington,1
Billing,1
Boothville,1
Brookside,1
Castle,1
Delapre and Briar Hill,1
East Hunsbury,1
Eastfield,1
Headlands,1
Kings Heath,1
Kingsley,1
Kingsthorpe,1
Nene Valley,1
New Duston,1
Obelisk,1
Old Duston,1
Park,1
Parklands,1
Phippsville,1
Rectory Farm,1
Riverside,1
Rushmills,1
St David's,1
St James,1
Semilong,1
Spencer,1
Spring Park,1
Sunnyside,1
Talavera,1
Trinity,1
Upton,1
West Hunsbury,1
Westone,1
Abbott,1
Berry Hill,1
Brick Kiln,1
Broomhill,1
Bull Farm and Pleasley Hill,1
Carr Bank,1
Eakring,1
Grange Farm,1
Holly,1
Hornby,1
Kings Walk,1
Kingsway,1
Ladybrook,1
Lindhurst,1
Ling Forest,1
Manor,1
Maun Valley,1
Newgate,1
Newlands,1
Oak Tree,1
Oakham,1
Park Hall,1
Peafields,1
Penniment,1
Portland,1
Racecourse,1
Ransom Wood,1
Sandhurst,1
Sherwood,1
Woodhouse,1
Woodlands,1
Yeoman Hill,1
Berrow,1
Bridgwater Dunwear,1
Bridgwater Eastover,1
Bridgwater Fairfax,1
Bridgwater Hamp,1
Bridgwater Victoria,1
Bridgwater Westover,1
Bridgwater Wyndham,1
Burnham Central,1
Burnham North,1
Highbridge and Burnham Marine,1
Anston and Woodsetts,1
Dinnington,1
Deiniol,1
Dewi,1
Garth,1
Glyder,1
Hendre,1
Hirael,1
Marchog,1
Menai (Bangor),1
Pentir,1
Abergele Pensarn,1
Colwyn,1
Eirias,1
Gele,1
Glyn,1
Gogarth,1
Kinmel Bay,1
Llandrillo yn Rhos,1
Mochdre,1
Mostyn,1
Pentre Mawr,1
Rhiw,1
Towyn,1
Dyserth,1
Prestatyn Central,1
Prestatyn East,1
Prestatyn Meliden,1
Prestatyn North,1
Prestatyn South West,1
Rhyl East,1
Rhyl South,1
Rhyl South East,1
Rhyl South West,1
Rhyl West,1
Argoed,1
Aston,1
Bagillt East,1
Bagillt West,1
Buckley Bistre East,1
Buckley Bistre West,1
Buckley Mountain,1
Buckley Pentrobin,1
Connah's Quay Central,1
Connah's Quay Golftyn,1
Connah's Quay South,1
Connah's Quay Wepre,1
Ewloe,1
Flint Castle,1
Flint Coleshill,1
Flint Oakenholt,1
Flint Trelawny,1
Greenfield,1
Hawarden,1
Holywell Central,1
Holywell East,1
Holywell West,1
Mancot,1
Mold Broncoed,1
Mold East,1
Mold South,1
Mold West,1
New Brighton,1
Northop Hall,1
Queensferry,1
Saltney Mold Junction,1
Saltney Stonebridge,1
Sealand,1
Shotton East,1
Shotton Higher,1
Shotton West,1
Whitford,1
Acton,1
Borras Park,1
Brynyffynnon,1
Cefn,1
Erddig,1
Esclusham,1
Garden Village,1
Grosvenor,1
Gwenfro,1
Gwersyllt North,1
Gwersyllt West,1
Hermitage,1
Johnstown,1
Little Acton,1
Llangollen Rural,1
Maesydre,1
New Broughton,1
Offa,1
Pant,1
Penycae,1
Penycae and Ruabon South,1
Plas Madoc,1
Ponciau,1
Queensway,1
Ruabon,1
Smithfield,1
Stansty,1
Wynnstay,1
Cwm-twrch,1
Ynyscedwyn,1
Ystradgynlais,1
Haverfordwest: Castle,1
Haverfordwest: Garth,1
Haverfordwest: Priory,1
Merlin's Bridge,1
Milford: Central,1
Milford: East,1
Milford: Hakin,1
Milford: Hubberston,1
Milford: North,1
Milford: West,1
Ammanford,1
Betws,1
Bigyn,1
Bynea,1
Dafen,1
Elli,1
Felinfoel,1
Glanymor,1
Gorslas,1
Hengoed,1
Llangennech,1
Llannon,1
Lliedi,1
Llwynhendy,1
Penygroes,1
Pontamman,1
Saron,1
Swiss Valley,1
Tycroes,1
Tyisha,1
Bonymaen,1
Castle,1
Clydach,1
Cockett,1
Cwmbwrla,1
Dunvant,1
Gorseinon,1
Gowerton,1
Killay North,1
Killay South,1
Kingsbridge,1
Landore,1
Llansamlet,1
Lower Loughor,1
Mayals,1
Morriston,1
Mynyddbach,1
Newton,1
Oystermouth,1
Penderry,1
Penllergaer,1
Penyrheol,1
St. Thomas,1
Sketty,1
Townhill,1
Uplands,1
Upper Loughor,1
West Cross,1
Aberavon,1
Aberdulais,1
Allt-wen,1
Baglan,1
Briton Ferry East,1
Briton Ferry West,1
Bryn-coch North,1
Bryn-coch South,1
Cadoxton,1
Cimla,1
Coedffranc Central,1
Coedffranc North,1
Coedffranc West,1
Cymmer,1
Dyffryn,1
Godre'r graig,1
Margam,1
Neath East,1
Neath North,1
Neath South,1
Pontardawe,1
Port Talbot,1
Rhos,1
Sandfields East,1
Sandfields West,1
Tai-bach,1
Tonna,1
Trebanos,1
Ystalyfera,1
Aberkenfig,1
Bryncethin,1
Bryncoch,1
Caerau,1
Cefn Glas,1
Coity,1
Cornelly,1
Litchard,1
Llangewydd and Brynhyfryd,1
Maesteg East,1
Maesteg West,1
Morfa,1
Newcastle,1
Newton,1
Nottage,1
Pendre,1
Pen-y-fai,1
Porthcawl East Central,1
Porthcawl West Central,1
Pyle,1
Rest Bay,1
Sarn,1
Ynysawdre,1
Baruc,1
Buttrills,1
Cadoc,1
Castleland,1
Cornerswell,1
Court,1
Dyfan,1
Gibbonsdown,1
Illtyd,1
Llantwit Major,1
St. Athan,1
St. Augustine's,1
Stanwell,1
Aberaman North,1
Aberaman South,1
Aberdare East,1
Aberdare West/Llwydcoed,1
Beddau,1
Church Village,1
Cilfynydd,1
Cwm Clydach,1
Cwmbach,1
Cymmer,1
Graig,1
Hawthorn,1
Llantrisant Town,1
Llantwit Fardre,1
Llwyn-y-pia,1
Mountain Ash East,1
Mountain Ash West,1
Penrhiwceiber,1
Pentre,1
Pen-y-graig,1
Pontypridd Town,1
Porth,1
Rhondda,1
Rhydfelen Central/Ilan,1
Taffs Well,1
Ton-teg,1
Tonypandy,1
Trallwng,1
Trealaw,1
Treforest,1
Treherbert,1
Treorchy,1
Tylorstown,1
Tyn-y-nant,1
Ynyshir,1
Ystrad,1
Cyfarthfa,1
Dowlais,1
Gurnos,1
Park,1
Penydarren,1
Plymouth,1
Town,1
Treharris,1
Aberbargoed,1
Abercarn,1
Bargoed,1
"Bedwas, Trethomas and Machen",1
Blackwood,1
Crosskeys,1
Gilfach,1
Hengoed,1
Nelson,1
Newbridge,1
St. Cattwg,1
Ystrad Mynach,1
Abertillery,1
Georgetown,1
Sirhowy,1
Six Bells,1
Tredegar Central and West,1
Abersychan,1
Brynwern,1
Coed Eva,1
Croesyceiliog North,1
Croesyceiliog South,1
Cwmyniscoy,1
Fairwater,1
Greenmeadow,1
Llantarnam,1
Llanyrafon North,1
New Inn,1
Panteg,1
Pontnewydd,1
Pontnewynydd,1
Pontypool,1
St. Cadocs and Penygarn,1
St. Dials,1
Snatchwood,1
Trevethin,1
Two Locks,1
Upper Cwmbran,1
Wainfelin,1
Caldicot Castle,1
Cantref,1
Castle,1
Croesonen,1
Dewstow,1
Dixton with Osbaston,1
Drybridge,1
Green Lane,1
Grofield,1
Lansdown,1
Larkfield,1
Llanfoist Fawr,1
Mardy,1
Overmonnow,1
Portskewett,1
Priory,1
St. Christopher's,1
St. Kingsmark,1
St. Mary's,1
Severn,1
Thornwell,1
West End,1
Wyesham,1
Allt-yr-yn,1
Alway,1
Beechwood,1
Bettws,1
Gaer,1
Graig,1
Langstone,1
Liswerry,1
Malpas,1
Pillgwenlly,1
Ringland,1
Rogerstone,1
St. Julians,1
Shaftesbury,1
Stow Hill,1
Tredegar Park,1
Victoria,1
Adamsdown,1
Butetown,1
Caerau,1
Canton,1
Cathays,1
Cyncoed,1
Ely,1
Fairwater,1
Gabalfa,1
Grangetown,1
Heath,1
Lisvane,1
Llandaff,1
Llandaff North,1
Llanishen,1
Llanrumney,1
Pentwyn,1
Penylan,1
Plasnewydd,1
Radyr,1
Rhiwbina,1
Riverside,1
Splott,1
Whitchurch and Tongwynlais,1
Pont-y-clun,1
Talbot Green,1
Vaynor,1
Brackla,1
"Bryntirion, Laleston and Merthyr Mawr",1
Coychurch Lower,1
Oldcastle,1
Pontprennau/Old St. Mellons,1
Rumney,1
Trowbridge,1
Bryn Cefn,1
Cartrefle,1
Gwersyllt East and South,1
Rhosnesni,1
Whitegate,1
Craig-y-Don,1
Deganwy,1
Marl,1
Penrhyn,1
Pensarn,1
Tudno,1
Cefn Fforest,1
Crumlin,1
Maesycwmmer,1
Morgan Jones,1
Pengam,1
Penmaen,1
Penyrheol,1
Pontllanfraith,1
Risca East,1
Risca West,1
St. James,1
St. Martins,1
Dinas Powys,1
Llandough,1
Plymouth,1
Sully,1
Badminton,1
Beaufort,1
Blaina,1
Brynmawr,1
Cwmtillery,1
Ebbw Vale North,1
Ebbw Vale South,1
Nantyglo,1
Rassau,1
Haverfordwest: Portfield,1
Haverfordwest: Prendergast,1
Penrith Carleton,2
Penrith East,2
Penrith North,2
Penrith Pategill,2
Penrith South,2
Penrith West,2
Ilfracombe Central,2
Ilfracombe East,2
Ilfracombe West,2
Mablethorpe Central,2
Mablethorpe East,2
Mablethorpe North,2
Sutton on Sea North,2
Sutton on Sea South,2
Trusthorpe and Mablethorpe South,2
Mayfield,2
Streonshalh,2
Whitby West Cliff,2
Berwick East,2
Berwick North,2
Berwick West with Ord,2
Ludlow East,2
Ludlow North,2
Ludlow South,2
Alcombe,2
Minehead Central,2
Minehead North,2
Minehead South,2
Holyhead Town,2
Maeshyfryd,2
Morawelon,2
Parc a'r Mynydd,2
Porthyfelin,2
Newtown Central,2
Newtown East,2
Newtown Llanllwchaiarn North,2
Newtown Llanllwchaiarn West,2
Newtown South,2
Aberystwyth Bronglais,2
Aberystwyth Canol/Central,2
Aberystwyth Gogledd/North,2
Aberystwyth Penparcau,2
Aberystwyth Rheidol,2
Faenor,2
Llanbadarn Fawr-Padarn,2
Llanbadarn Fawr-Sulien,2
Carmarthen Town North,2
Carmarthen Town South,2
Carmarthen Town West,2
Llangunnor,2
Kingsland,2
London Road,2
Harefield,2
Billinge and Seneley Green,2
North East,2
Askern Spa,2
Finningley,2
Torne Valley,2
Rother Vale,2
Wales,2
Chopwell and Rowlands Gill,2
Weetslade,2
Meriden,2
Bingley Rural,2
Craven,2
Calder,2
Luddendenfoot,2
Denby Dale,2
"Ackworth, North Elmsall and Upton",2
"Crofton, Ryhill and Walton",2
Hemsworth,2
Brotton,2
Lockwood,2
Loftus,2
Longbeck,2
St Germain's,2
Saltburn,2
Skelton,2
Heighington and Coniscliffe,2
Hurworth,2
Middleton St George,2
Hale,2
Burtonwood and Winwick,2
"Culcheth, Glazebury and Croft",2
East Rural,2
Beverley Rural,2
Howden,2
Howdenshire,2
North Holderness,2
Pocklington Provincial,2
South East Holderness,2
Humberston and New Waltham,2
Wolds,2
Axholme Central,2
Axholme North,2
Brigg and Wolds,2
Broughton and Appleby,2
Burton upon Stather and Winterton,2
Ferry,2
Ridge,2
Bishopthorpe,2
Derwent,2
Rural West York,2
Strensall,2
Ketton,2
Langham,2
Ryhall and Casterton,2
Uppingham,2
Bromyard,2
Credenhill,2
Ledbury,2
High Littleton,2
Peasedown,2
Saltford,2
Timsbury,2
Wraxall and Long Ashton,2
Boyd Valley,2
Pilning and Severn Beach,2
Highworth,2
Wroughton and Chiseldon,2
Eye and Thorney,2
Glinton and Wittering,2
Newborough,2
Northborough,2
Aveley and Uplands,2
East Tilbury,2
Orsett,2
Cuxton and Halling,2
Peninsula,2
Strood Rural,2
Burghfield,2
Hungerford,2
Lambourn Valley,2
Mortimer,2
Pangbourne,2
Datchet,2
Eton Wick,2
Charvil,2
"Remenham, Wargrave and Ruscombe",2
Shinfield South,2
Twyford,2
Hanslope Park,2
Olney,2
Aston Clinton,2
Cheddington,2
Haddenham,2
Newton Longville,2
Pitstone,2
Steeple Claydon,2
Waddesdon,2
Weedon,2
Wendover,2
Wing,2
Winslow,2
Chalfont St Giles,2
Great Missenden,2
Prestwood and Heath End,2
Seer Green,2
Denham North,2
Denham South,2
Iver Heath,2
Iver Village and Richings Park,2
Chiltern Rise,2
Stokenchurch and Radnage,2
The Risboroughs,2
Burwell,2
Haddenham,2
Isleham,2
Littleport East,2
Littleport West,2
Soham North,2
Soham South,2
Sutton,2
Doddington,2
Manea,2
Wimblington,2
Brampton,2
Godmanchester,2
Sawtry,2
Stilton,2
Yaxley and Farcet,2
Bar Hill,2
Bourn,2
Caldecote,2
Comberton,2
Cottenham,2
Duxford,2
Gamlingay,2
Hardwick,2
Linton,2
Longstanton,2
Melbourn,2
Sawston,2
Swavesey,2
Waterbeach,2
Willingham and Over,2
All Saints,2
Broughton St Bridget's,2
Christchurch,2
Ellenborough,2
Ewanrigg,2
Flimby,2
Netherhall,2
Stainburn,2
Wigton,2
Dalton North,2
Dalton South,2
Walney North,2
Walney South,2
Brampton,2
Longtown & Rockcliffe,2
Cleator Moor North,2
Cleator Moor South,2
Distington,2
Egremont North,2
Egremont South,2
Frizington,2
Haverigg,2
Holborn Hill,2
Moresby,2
Newtown,2
St Bees,2
Arnside and Beetham,2
Burton and Holme,2
Grange North,2
Grange South,2
Holker,2
Milnthorpe,2
Staveley-in-Westmorland,2
Crich,2
Barlborough,2
Blackwell,2
Clowne North,2
Clowne South,2
Elmton-with-Creswell,2
Scarcliffe,2
Tibshelf,2
Whitwell,2
Ashbourne North,2
Ashbourne South,2
Bakewell,2
Bradwell,2
Tideswell,2
Wirksworth,2
Blackbrook,2
Chapel East,2
Chapel West,2
Hayfield,2
Whaley Bridge,2
Renishaw,2
Axminster Rural,2
Axminster Town,2
Beer and Branscombe,2
Budleigh,2
Dunkeswell,2
Newton Poppleford and Harpford,2
Ottery St Mary Town,2
Seaton,2
Woodbury and Lympstone,2
Bradninch,2
Cullompton North,2
Cullompton South,2
Lawrence,2
Lower Culm,2
Silverton,2
Braunton East,2
Braunton West,2
Fremington,2
Dartmouth and Kingswear,2
Dartmouth Townstal,2
East Dart,2
Kingsbridge East,2
Kingsbridge North,2
Newton and Noss,2
Salcombe and Malborough,2
South Brent,2
Totnes Bridgetown,2
Totnes Town,2
Westville and Alvington,2
Yealmpton,2
Ashburton and Buckfastleigh,2
Bishopsteignton,2
Bovey,2
Chudleigh,2
Ipplepen,2
Kenn Valley,2
Kenton with Starcross,2
Kerswell-with-Combe,2
Torrington,2
Bere Ferrers,2
Chagford,2
Walkham,2
Alderholt,2
St Leonards and St Ives East,2
St Leonards and St Ives West,2
Three Cross and Potterne,2
Blackmore,2
Shaftesbury Central,2
Shaftesbury Christy's,2
Shaftesbury Grosvenor,2
Shaftesbury Underhill,2
Stour Valley,2
Bere Regis,2
Lytchett Matravers,2
St. Martin,2
Wareham,2
Beaminster,2
Charminster and Cerne Valley,2
Charmouth,2
Lyme Regis,2
Owermoigne,2
Sherborne East,2
Sherborne West,2
Tophill East,2
Tophill West,2
Underhill,2
Ditchling and Westmeston,2
Newick,2
Ouse Valley and Ringmer,2
Battle Town,2
Rye,2
Buxted and Maresfield,2
East Dean,2
Heathfield North and Central,2
Horam,2
Pevensey and Westham,2
"Bradwell, Silver End and Rivenhall",2
Coggeshall and North Feering,2
Hatfield Peverel,2
Hedingham and Maplestead,2
Kelvedon,2
The Three Colnes,2
Yeldham,2
Brizes and Doddinghurst,2
"Herongate, Ingrave and West Horndon",2
"Ingatestone, Fryerning and Mountnessing",2
Boreham and The Leighs,2
"Little Baddow, Danbury and Sandon",2
Writtle,2
Birch and Winstree,2
East Donyland,2
Tiptree,2
West Bergholt and Eight Ash Green,2
West Mersea,2
Wivenhoe Cross,2
Wivenhoe Quay,2
"Chipping Ongar, Greensted and Marden Ash",2
Lambourne,2
North Weald Bassett,2
Roydon,2
Shelley,2
Theydon Bois,2
Burnham-on-Crouch North,2
Burnham-on-Crouch South,2
Great Totham,2
Mayland,2
Southminster,2
Tollesbury,2
Foulness and Great Wakering,2
Alresford,2
Beaumont and Thorpe,2
Brightlingsea,2
Golf Green,2
Great Bentley,2
Lawford,2
"Manningtree, Mistley, Little Bentley and Tendring",2
St Osyth and Point Clear,2
Elsenham and Henham,2
Great Dunmow North,2
Great Dunmow South,2
Hatfield Heath,2
Newport,2
Stansted North,2
Thaxted,2
Beacon-Stow,2
Bourton-on-the-Water,2
Campden-Vale,2
Cirencester Stratton-Whiteway,2
Fairford,2
Kempsford-Lechlade,2
Moreton-in-Marsh,2
Northleach,2
Tetbury,2
Water Park,2
"Alvington, Aylburton and West Lydney",2
Bream,2
Lydney East,2
Lydney North,2
Mitcheldean and Drybrook,2
Newent Central,2
Berkeley,2
Painswick,2
Wotton-under-Edge,2
Bramley and Sherfield,2
Kingsclere,2
Oakley and North Waltham,2
"Overton, Laverstoke and Steventon",2
Whitchurch,2
Bramshott and Liphook,2
Four Marks and Medstead,2
Grayshott,2
Liss,2
Hamble-le-Rice and Butlocks Heath,2
Netley Abbey,2
Hartley Wintney,2
Hook,2
Odiham,2
Boldre and Sway,2
Bransgore and Burley,2
Lyndhurst,2
Marchwood,2
Milford,2
North Baddesley,2
Bishops Waltham,2
Colden Common and Twyford,2
Denmead,2
Kings Worthy,2
Shedfield,2
The Alresfords,2
Wickham,2
"Bovingdon, Flaunden and Chipperfield",2
Buntingford,2
Hertford Heath,2
Puckeridge,2
Watton-at-Stone,2
Aldenham East,2
Aldenham West,2
Shenley,2
Arbury,2
Kimpton,2
Knebworth,2
Redbourn,2
Wheathampstead,2
Northaw and Cuffley,2
Charing,2
St Michaels,2
Tenterden North,2
Tenterden South,2
Wye,2
Little Stour,2
Sturry North,2
Sturry South,2
Bean and Darenth,2
Sutton-at-Hone and Hawley,2
Aylesham,2
Capel-le-Ferne,2
Eastry,2
Eythorne and Shepherdswell,2
Ringwould,2
Sandwich,2
Higham,2
Istead Rise,2
Meopham North,2
Meopham South and Vigo,2
Harrietsham and Lenham,2
Headcorn,2
Leeds,2
Marden and Yalding,2
Staplehurst,2
Edenbridge North and East,2
Edenbridge South and West,2
Eynsford,2
"Farningham, Horton Kirby and South Darenth",2
Fawkham and West Kingsdown,2
Kemsing,2
Westerham and Crockham Hill,2
Dymchurch and St Mary's Bay,2
Lydd,2
Lympne and Stanford,2
New Romney Coast,2
New Romney Town,2
North Downs East,2
North Downs West,2
"Hartlip, Newington and Upchurch",2
Iwade and Lower Halstow,2
Leysdown and Warden,2
Teynham and Lynsted,2
Borough Green and Long Mill,2
"Burham, Eccles and Wouldham",2
East Peckham and Golden Green,2
"Hadlow, Mereworth and West Peckham",2
Kings Hill,2
Wateringbury,2
Wrotham,2
Benenden and Cranbrook,2
Hawkhurst and Sandhurst,2
Paddock Wood East,2
Paddock Wood West,2
Pembury,2
Chisnall,2
Coppull,2
Eccleston and Mawdesley,2
Lostock,2
Wheelton and Withnell,2
Freckleton East,2
Freckleton West,2
Newton and Treales,2
Ribby-with-Wrea,2
Warton and Westby,2
Rishton,2
Bolton-le-Sands,2
Carnforth,2
Halton-with-Aughton,2
Lower Lune Valley,2
Slyne-with-Hest,2
Warton,2
Old Laund Booth,2
Alston and Hothersall,2
Billington and Old Langho,2
Derby and Thornley,2
Dilworth,2
Langho,2
Mellor,2
Read and Simonstone,2
Sabden,2
Whalley,2
Burscough East,2
Burscough West,2
Hesketh-with-Becconsall,2
North Meols,2
Parbold,2
Tarleton,2
Cabus,2
Calder,2
Catterall,2
Garstang,2
Hambleton and Stalmine-with-Staynall,2
Preesall,2
Countesthorpe,2
Croft Hill,2
Normanton,2
Stanton and Flamville,2
Anstey,2
East Goscote,2
Broughton Astley-Astley,2
Broughton Astley-Broughton,2
Broughton Astley-Primethorpe,2
Broughton Astley-Sutton,2
Fleckney,2
Glen,2
Kibworth,2
Lutterworth Brookfield,2
Lutterworth Orchard,2
Lutterworth Springs,2
Lutterworth Swift,2
Ambien,2
"Barlestone, Nailstone and Osbaston",2
"Cadeby, Carlton and Market Bosworth with Shackerstone",2
"Markfield, Stanton and Fieldhead",2
Newbold Verdon with Desford and Peckleton,2
"Ratby, Bagworth and Thornton",2
Asfordby,2
Bottesford,2
Castle Donington,2
Ibstock and Heather,2
